source_version,migration_build_id,category_key,catalog_label,display_label,kind,badge_slot,team_count
eF26_v551,1852ec648d2ebd75,english_league,ENGLISH LEAGUE,PREMIER LEAGUE,club,481,19
eF26_v551,1852ec648d2ebd75,english_second,ENGLISH 2ND DIV,EFL CHAMPIONSHIP,club,482,20
eF26_v551,1852ec648d2ebd75,spanish_league,SPANISH LEAGUE,LALIGA EA SPORTS,club,483,20
eF26_v551,1852ec648d2ebd75,spanish_second,SPANISH 2ND DIV,LALIGA HYPERMOTION,club,484,16
eF26_v551,1852ec648d2ebd75,ligue_1,LIGUE 1,LIGUE 1 MCDONALD'S,club,485,18
eF26_v551,1852ec648d2ebd75,ligue_2,LIGUE 2,LIGUE 2 BKT,club,486,12
eF26_v551,1852ec648d2ebd75,serie_a,SERIE A,SERIE A ENILIVE,club,487,19
eF26_v551,1852ec648d2ebd75,serie_b,SERIE B,SERIE BKT,club,488,10
eF26_v551,1852ec648d2ebd75,eredivisie,EREDIVISIE,EREDIVISIE,club,489,12
eF26_v551,1852ec648d2ebd75,liga_portugal,LIGA PORTUGAL,LIGA PORTUGAL BETCLIC,club,490,12
eF26_v551,1852ec648d2ebd75,german_teams,GERMAN TEAMS,BUNDESLIGA,club,491,1
eF26_v551,1852ec648d2ebd75,turkish_league,TURKISH LEAGUE,TRENDYOL SUPER LIG,club,492,15
eF26_v551,1852ec648d2ebd75,scottish_league,SCOTTISH LEAGUE,SCOTTISH PREMIERSHIP,club,493,9
eF26_v551,1852ec648d2ebd75,danish_league,DANISH LEAGUE,3F SUPERLIGA,club,494,10
eF26_v551,1852ec648d2ebd75,belgian_league,BELGIAN LEAGUE,JUPILER PRO LEAGUE,club,495,12
eF26_v551,1852ec648d2ebd75,swiss_league,SWISS LEAGUE,SWISS LEAGUE,club,496,10
eF26_v551,1852ec648d2ebd75,other_europe,OTHER EUROPE,OTHER EUROPE,club,497,1
eF26_v551,1852ec648d2ebd75,brazil_serie_a,BRAZIL SERIE A,BRASILEIRAO BETANO,club,498,18
eF26_v551,1852ec648d2ebd75,brazil_serie_b,BRAZIL SERIE B,BRASILEIRAO SERIE B,club,499,14
eF26_v551,1852ec648d2ebd75,argentina_league,ARGENTINA LEAGUE,LIGA PROFESIONAL,club,500,22
eF26_v551,1852ec648d2ebd75,chilean_league,CHILEAN LEAGUE,LIGA DE PRIMERA,club,501,13
eF26_v551,1852ec648d2ebd75,colombian_league,COLOMBIAN LEAGUE,LIGA BETPLAY,club,502,16
eF26_v551,1852ec648d2ebd75,j1_league,J1 LEAGUE,J1 LEAGUE,club,503,20
eF26_v551,1852ec648d2ebd75,j2_league,J2 LEAGUE,J2 LEAGUE,club,504,13
eF26_v551,1852ec648d2ebd75,thai_league,THAI LEAGUE,THAI LEAGUE 1,club,505,12
eF26_v551,1852ec648d2ebd75,other_asia_clubs,OTHER ASIA CLUBS,OTHER ASIA CLUBS,club,506,4
eF26_v551,1852ec648d2ebd75,north_america_clubs,N AMERICA CLUBS,N AMERICA CLUBS,club,507,5
eF26_v551,1852ec648d2ebd75,world_edit_clubs,WORLD / EDIT CLUBS,WORLD / EDIT CLUBS,club,508,2
eF26_v551,1852ec648d2ebd75,national_europe,NATIONAL EUROPE,NATIONAL EUROPE,national,509,41
eF26_v551,1852ec648d2ebd75,national_africa,NATIONAL AFRICA,NATIONAL AFRICA,national,510,14
eF26_v551,1852ec648d2ebd75,national_north_america,NATIONAL N AMERICA,NATIONAL N AMERICA,national,511,6
eF26_v551,1852ec648d2ebd75,national_south_america,NATIONAL S AMERICA,NATIONAL S AMERICA,national,512,10
eF26_v551,1852ec648d2ebd75,national_asia_oceania,NATIONAL ASIA OCEANIA,NATIONAL ASIA OCEANIA,national,513,17
